Header: 
Footer: 
Point prm/cv           freq     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.
  322 322/ 0  8.075000E+010  4.033610E-002  2.285829E-002  7.589692E-001 -6.036065E-001  7.613333E-001 -5.989527E-001  4.379882E-002  1.142018E-002
  323 323/ 0  8.100000E+010  4.725657E-002  8.827636E-003  7.596293E-001 -6.035845E-001  7.629475E-001 -5.980288E-001  3.701112E-002  1.329266E-002
  324 324/ 0  8.125000E+010  3.928806E-002  2.060366E-002  7.584860E-001 -6.070755E-001  7.609608E-001 -6.024080E-001  4.505780E-002  1.634960E-002
  325 325/ 0  8.150000E+010  5.388906E-002  1.213981E-002  7.577036E-001 -6.070309E-001  7.605838E-001 -6.016133E-001  3.902715E-002  1.590289E-002
  326 326/ 0  8.175000E+010  4.286898E-002  1.362367E-002  7.594497E-001 -6.115535E-001  7.627540E-001 -6.061233E-001  4.286226E-002  1.621083E-002
  327 327/ 0  8.200000E+010  5.055807E-002  2.330255E-002  7.534581E-001 -6.113098E-001  7.564511E-001 -6.052182E-001  4.307854E-002  1.661968E-002
  328 328/ 0  8.225000E+010  4.789475E-002  1.103196E-002  7.558213E-001 -6.138751E-001  7.586603E-001 -6.088991E-001  4.360256E-002  1.535373E-002
  329 329/ 0  8.250000E+010  4.748006E-002  2.449336E-002  7.510600E-001 -6.142737E-001  7.536397E-001 -6.097164E-001  4.859329E-002  1.668825E-002
  330 330/ 0  8.275000E+010  4.965613E-002  1.294423E-002  7.501816E-001 -6.158890E-001  7.528269E-001 -6.109747E-001  4.487382E-002  1.570768E-002
  331 331/ 0  8.300000E+010  4.767100E-002  2.158514E-002  7.491265E-001 -6.186508E-001  7.508833E-001 -6.148078E-001  4.913783E-002  1.608147E-002
  332 332/ 0  8.325000E+010  4.862152E-002  1.622056E-002  7.464675E-001 -6.193199E-001  7.487763E-001 -6.147663E-001  4.839527E-002  1.537683E-002
  333 333/ 0  8.350000E+010  5.102440E-002  2.223174E-002  7.468219E-001 -6.221826E-001  7.479705E-001 -6.193424E-001  4.784078E-002  1.500916E-002
  334 334/ 0  8.375000E+010  5.140514E-002  1.689915E-002  7.437339E-001 -6.226833E-001  7.461136E-001 -6.178746E-001  4.900773E-002  1.908743E-002
  335 335/ 0  8.400000E+010  5.166401E-002  2.136877E-002  7.435688E-001 -6.264430E-001  7.460996E-001 -6.220855E-001  4.828248E-002  1.253468E-002
  336 336/ 0  8.425000E+010  5.380050E-002  1.964633E-002  7.415580E-001 -6.267131E-001  7.437356E-001 -6.220396E-001  4.965156E-002  2.082621E-002
  337 337/ 0  8.450000E+010  5.011733E-002  2.091537E-002  7.420466E-001 -6.275709E-001  7.442414E-001 -6.237851E-001  5.225239E-002  1.488750E-002
  338 338/ 0  8.475000E+010  5.739065E-002  2.281972E-002  7.405184E-001 -6.292452E-001  7.429942E-001 -6.249067E-001  4.812235E-002  2.026655E-002
  339 339/ 0  8.500000E+010  5.317351E-002  1.769648E-002  7.379193E-001 -6.291542E-001  7.406681E-001 -6.247083E-001  5.260394E-002  1.952301E-002
  340 340/ 0  8.525000E+010  5.657577E-002  2.113213E-002  7.368947E-001 -6.314769E-001  7.396602E-001 -6.265902E-001  4.788495E-002  2.017227E-002
  341 341/ 0  8.550000E+010  5.490252E-002  1.564176E-002  7.363273E-001 -6.331385E-001  7.379018E-001 -6.294943E-001  5.250552E-002  2.205191E-002
  342 342/ 0  8.575000E+010  5.495820E-002  2.311248E-002  7.334112E-001 -6.352114E-001  7.358781E-001 -6.306502E-001  5.033634E-002  1.888661E-002
  343 343/ 0  8.600000E+010  5.915312E-002  1.778600E-002  7.346177E-001 -6.356960E-001  7.359825E-001 -6.327226E-001  5.275001E-002  2.361894E-002
  344 344/ 0  8.625000E+010  5.657462E-002  2.520381E-002  7.311847E-001 -6.384427E-001  7.339805E-001 -6.337788E-001  5.527597E-002  1.986482E-002
  345 345/ 0  8.650000E+010  6.295424E-002  1.801693E-002  7.327254E-001 -6.385747E-001  7.358143E-001 -6.342414E-001  5.408956E-002  2.543883E-002
  346 346/ 0  8.675000E+010  5.506864E-002  2.638334E-002  7.300398E-001 -6.409821E-001  7.329562E-001 -6.367511E-001  6.032695E-002  2.113391E-002
  347 347/ 0  8.700000E+010  6.299133E-002  2.243853E-002  7.288078E-001 -6.411673E-001  7.312212E-001 -6.370558E-001  5.529170E-002  2.483467E-002
  348 348/ 0  8.725000E+010  5.691357E-002  2.406925E-002  7.278350E-001 -6.442650E-001  7.305733E-001 -6.400601E-001  6.133183E-002  2.121677E-002
  349 349/ 0  8.750000E+010  6.197073E-002  3.046340E-002  7.263720E-001 -6.459831E-001  7.292776E-001 -6.419688E-001  5.886373E-002  2.430544E-002
  350 350/ 0  8.775000E+010  5.952627E-002  1.806485E-002  7.262024E-001 -6.473593E-001  7.280939E-001 -6.435881E-001  6.078829E-002  2.202687E-002
  351 351/ 0  8.800000E+010  5.909912E-002  3.310710E-002  7.233312E-001 -6.492059E-001  7.260797E-001 -6.452213E-001  6.239985E-002  2.125497E-002
  352 352/ 0  8.825000E+010  6.473824E-002  1.704678E-002  7.229376E-001 -6.488810E-001  7.254044E-001 -6.451966E-001  5.808197E-002  2.212965E-002
  353 353/ 0  8.850000E+010  5.674753E-002  2.804482E-002  7.198922E-001 -6.513736E-001  7.226555E-001 -6.471636E-001  6.278930E-002  2.318064E-002
  354 354/ 0  8.875000E+010  6.522749E-002  1.924784E-002  7.183294E-001 -6.515896E-001  7.203445E-001 -6.483701E-001  5.425263E-002  2.172869E-002
  355 355/ 0  8.900000E+010  5.932817E-002  2.535324E-002  7.164280E-001 -6.560332E-001  7.193793E-001 -6.518858E-001  6.133790E-002  2.456326E-002
  356 356/ 0  8.925000E+010  6.368892E-002  2.085715E-002  7.148520E-001 -6.549742E-001  7.167575E-001 -6.509878E-001  5.632782E-002  2.221395E-002
  357 357/ 0  8.950000E+010  6.113293E-002  2.606492E-002  7.129612E-001 -6.602749E-001  7.161022E-001 -6.552107E-001  5.829318E-002  2.481787E-002
  358 358/ 0  8.975000E+010  6.719778E-002  2.356751E-002  7.115530E-001 -6.589553E-001  7.146259E-001 -6.547287E-001  5.789313E-002  2.593011E-002
  359 359/ 0  9.000000E+010  6.213402E-002  2.782084E-002  7.100096E-001 -6.622272E-001  7.140775E-001 -6.566194E-001  5.928221E-002  2.387939E-002
  360 360/ 0  9.025000E+010  6.928654E-002  3.110967E-002  7.089657E-001 -6.618240E-001  7.114077E-001 -6.586208E-001  6.208495E-002  2.823123E-002
  361 361/ 0  9.050000E+010  6.215056E-002  2.835971E-002  7.065876E-001 -6.646426E-001  7.112384E-001 -6.589057E-001  6.445862E-002  2.460689E-002
  362 362/ 0  9.075000E+010  6.531351E-002  3.621040E-002  7.048230E-001 -6.663876E-001  7.070283E-001 -6.615707E-001  6.193730E-002  2.963255E-002
  363 363/ 0  9.100000E+010  6.597643E-002  2.743062E-002  7.023734E-001 -6.670758E-001  7.063056E-001 -6.627530E-001  6.464649E-002  2.796635E-002
  364 364/ 0  9.125000E+010  6.457790E-002  3.516829E-002  7.023844E-001 -6.698528E-001  7.064078E-001 -6.649842E-001  6.159895E-002  2.495087E-002
  365 365/ 0  9.150000E+010  7.119879E-002  3.194554E-002  6.995849E-001 -6.701814E-001  7.028512E-001 -6.653157E-001  6.529355E-002  2.959673E-002
  366 366/ 0  9.175000E+010  6.420559E-002  3.178987E-002  7.001702E-001 -6.716930E-001  7.041567E-001 -6.670824E-001  6.173009E-002  2.659077E-002
  367 367/ 0  9.200000E+010  7.104051E-002  3.187995E-002  6.973482E-001 -6.747656E-001  7.014987E-001 -6.695957E-001  6.354496E-002  3.173554E-002
  368 368/ 0  9.225000E+010  6.932666E-002  3.052932E-002  6.956240E-001 -6.731742E-001  6.990595E-001 -6.683864E-001  6.488438E-002  3.243742E-002
  369 369/ 0  9.250000E+010  7.378412E-002  2.651987E-002  6.957306E-001 -6.772565E-001  6.989439E-001 -6.723108E-001  5.971845E-002  3.191345E-002
  370 370/ 0  9.275000E+010  7.366224E-002  3.299511E-002  6.912624E-001 -6.761634E-001  6.956267E-001 -6.716254E-001  6.838084E-002  3.367910E-002
  371 371/ 0  9.300000E+010  7.652208E-002  2.501567E-002  6.917629E-001 -6.775775E-001  6.951043E-001 -6.722646E-001  6.040646E-002  3.299915E-002
  372 372/ 0  9.325000E+010  7.442308E-002  3.514490E-002  6.889375E-001 -6.802346E-001  6.921475E-001 -6.758520E-001  7.153738E-002  3.329924E-002
  373 373/ 0  9.350000E+010  7.896273E-002  3.335471E-002  6.878445E-001 -6.792460E-001  6.913925E-001 -6.754164E-001  6.709898E-002  3.324710E-002
  374 374/ 0  9.375000E+010  7.405229E-002  3.291223E-002  6.876651E-001 -6.834932E-001  6.906823E-001 -6.785287E-001  7.099112E-002  3.216630E-002
  375 375/ 0  9.400000E+010  7.577787E-002  4.342103E-002  6.853885E-001 -6.827849E-001  6.891264E-001 -6.799123E-001  7.388457E-002  3.306439E-002
  376 376/ 0  9.425000E+010  7.606084E-002  3.383481E-002  6.833710E-001 -6.846934E-001  6.875700E-001 -6.800334E-001  7.047180E-002  3.285093E-002
  377 377/ 0  9.450000E+010  7.428154E-002  4.661972E-002  6.822642E-001 -6.882079E-001  6.856956E-001 -6.841853E-001  7.492614E-002  3.301617E-002
  378 378/ 0  9.475000E+010  7.774824E-002  3.388736E-002  6.785921E-001 -6.873434E-001  6.836136E-001 -6.830999E-001  7.069111E-002  3.280389E-002
  379 379/ 0  9.500000E+010  7.364535E-002  3.995576E-002  6.805491E-001 -6.919243E-001  6.839251E-001 -6.874390E-001  6.956443E-002  3.353385E-002
  380 380/ 0  9.525000E+010  8.009143E-002  3.564689E-002  6.750294E-001 -6.910072E-001  6.799968E-001 -6.861011E-001  7.057819E-002  3.510086E-002
  381 381/ 0  9.550000E+010  7.452272E-002  3.375451E-002  6.776019E-001 -6.939136E-001  6.815230E-001 -6.898940E-001  6.608826E-002  3.701006E-002
  382 382/ 0  9.575000E+010  8.291241E-002  3.967498E-002  6.719403E-001 -6.939543E-001  6.774065E-001 -6.891095E-001  7.238536E-002  3.910783E-002
  383 383/ 0  9.600000E+010  7.672016E-002  3.386302E-002  6.734239E-001 -6.945822E-001  6.774285E-001 -6.895108E-001  6.849826E-002  4.057188E-002
  384 384/ 0  9.625000E+010  8.396918E-002  4.370453E-002  6.698436E-001 -6.961768E-001  6.741389E-001 -6.919674E-001  7.297471E-002  4.059808E-002
  385 385/ 0  9.650000E+010  8.577256E-002  3.802731E-002  6.676477E-001 -6.955451E-001  6.723219E-001 -6.910654E-001  7.467431E-002  4.324752E-002
  386 386/ 0  9.675000E+010  8.474372E-002  4.434304E-002  6.658100E-001 -7.001858E-001  6.696128E-001 -6.953008E-001  7.356864E-002  3.845264E-002
  387 387/ 0  9.700000E+010  9.358422E-002  4.497511E-002  6.650571E-001 -6.983970E-001  6.687094E-001 -6.947295E-001  7.860659E-002  4.026105E-002
  388 388/ 0  9.725000E+010  8.511577E-002  4.294129E-002  6.636637E-001 -7.009059E-001  6.683817E-001 -6.954331E-001  7.772496E-002  3.845399E-002
  389 389/ 0  9.750000E+010  9.357790E-002  5.234978E-002  6.605163E-001 -7.022822E-001  6.646453E-001 -6.968022E-001  7.713531E-002  4.212326E-002
  390 390/ 0  9.775000E+010  8.686737E-002  4.123906E-002  6.595881E-001 -7.011689E-001  6.646671E-001 -6.961595E-001  7.985298E-002  4.182692E-002
  391 391/ 0  9.800000E+010  9.129471E-002  4.789916E-002  6.584841E-001 -7.051716E-001  6.623210E-001 -6.999385E-001  7.745407E-002  4.298384E-002
  392 392/ 0  9.825000E+010  9.325384E-002  4.144156E-002  6.572125E-001 -7.034873E-001  6.611119E-001 -6.994836E-001  8.215120E-002  4.446831E-002
  393 393/ 0  9.850000E+010  9.198228E-002  3.988211E-002  6.588900E-001 -7.077161E-001  6.632408E-001 -7.020321E-001  7.644413E-002  4.061759E-002
  394 394/ 0  9.875000E+010  9.286792E-002  4.129096E-002  6.565890E-001 -7.081922E-001  6.607881E-001 -7.035615E-001  7.854978E-002  4.714292E-002
  395 395/ 0  9.900000E+010  9.449221E-002  3.728268E-002  6.544698E-001 -7.084474E-001  6.585848E-001 -7.035201E-001  7.686405E-002  4.486210E-002
  396 396/ 0  9.925000E+010  9.142215E-002  3.693637E-002  6.542529E-001 -7.102074E-001  6.593910E-001 -7.056284E-001  7.740327E-002  5.089069E-002
  397 397/ 0  9.950000E+010  9.298318E-002  4.245580E-002  6.511146E-001 -7.112371E-001  6.558120E-001 -7.061662E-001  7.972406E-002  4.714431E-002
  398 398/ 0  9.975000E+010  9.322262E-002  3.409494E-002  6.537704E-001 -7.121278E-001  6.583419E-001 -7.062435E-001  7.566519E-002  5.454303E-002
  399 399/ 0  1.000000E+011  9.123503E-002  5.013609E-002  6.483445E-001 -7.138870E-001  6.535726E-001 -7.091332E-001  8.687914E-002  5.150142E-002
  400 400/ 0  1.002500E+011  9.971423E-002  3.933844E-002  6.476812E-001 -7.130422E-001  6.527968E-001 -7.057137E-001  7.798914E-002  5.380126E-002
  401 401/ 0  1.005000E+011  8.990464E-002  5.199498E-002  6.457319E-001 -7.174213E-001  6.508835E-001 -7.115424E-001  8.962055E-002  5.298547E-002
  402 402/ 0  1.007500E+011  1.021004E-001  5.170377E-002  6.415612E-001 -7.162001E-001  6.476275E-001 -7.097298E-001  8.752489E-002  5.277691E-002
  403 403/ 0  1.010000E+011  9.337329E-002  4.778199E-002  6.426738E-001 -7.210530E-001  6.472672E-001 -7.147017E-001  9.197748E-002  5.245103E-002
  404 404/ 0  1.012500E+011  1.006280E-001  5.751477E-002  6.387068E-001 -7.189185E-001  6.448142E-001 -7.136317E-001  9.462081E-002  5.082633E-002
  405 405/ 0  1.015000E+011  9.952938E-002  4.505534E-002  6.404590E-001 -7.201140E-001  6.456244E-001 -7.140773E-001  9.184141E-002  5.154239E-002
  406 406/ 0  1.017500E+011  9.833707E-002  5.445467E-002  6.373355E-001 -7.211461E-001  6.416430E-001 -7.164896E-001  9.380080E-002  5.067633E-002
  407 407/ 0  1.020000E+011  9.965746E-002  4.472561E-002  6.356233E-001 -7.213200E-001  6.409108E-001 -7.156441E-001  8.731936E-002  5.115002E-002
  408 408/ 0  1.022500E+011  1.016863E-001  5.239307E-002  6.340515E-001 -7.243047E-001  6.393003E-001 -7.187708E-001  9.191353E-002  5.267484E-002
  409 409/ 0  1.025000E+011  1.042815E-001  4.771354E-002  6.327516E-001 -7.235205E-001  6.373035E-001 -7.184748E-001  9.105714E-002  5.390444E-002
  410 410/ 0  1.027500E+011  1.048252E-001  5.015594E-002  6.308254E-001 -7.268077E-001  6.357428E-001 -7.209593E-001  9.344849E-002  5.233685E-002
  411 411/ 0  1.030000E+011  1.080184E-001  4.950317E-002  6.298027E-001 -7.255914E-001  6.341204E-001 -7.207881E-001  9.297552E-002  5.611143E-002
  412 412/ 0  1.032500E+011  1.055768E-001  4.838879E-002  6.268309E-001 -7.302840E-001  6.326940E-001 -7.241257E-001  9.341849E-002  5.242377E-002
  413 413/ 0  1.035000E+011  1.112137E-001  4.961577E-002  6.261920E-001 -7.282557E-001  6.317354E-001 -7.228131E-001  9.405875E-002  5.355001E-002
  414 414/ 0  1.037500E+011  1.040955E-001  4.648670E-002  6.264088E-001 -7.316405E-001  6.315872E-001 -7.251865E-001  9.319713E-002  5.354612E-002
  415 415/ 0  1.040000E+011  1.107183E-001  5.317193E-002  6.214218E-001 -7.313054E-001  6.279547E-001 -7.248309E-001  9.359802E-002  5.273933E-002
  416 416/ 0  1.042500E+011  1.025423E-001  4.769957E-002  6.225597E-001 -7.324495E-001  6.290531E-001 -7.259781E-001  9.393242E-002  5.732860E-002
  417 417/ 0  1.045000E+011  1.079130E-001  5.521141E-002  6.177398E-001 -7.351465E-001  6.237414E-001 -7.274021E-001  9.500649E-002  5.566376E-002
  418 418/ 0  1.047500E+011  1.048385E-001  4.859098E-002  6.189058E-001 -7.345881E-001  6.254067E-001 -7.285297E-001  9.493267E-002  5.782136E-002
  419 419/ 0  1.050000E+011  1.047484E-001  5.519270E-002  6.153564E-001 -7.375809E-001  6.219929E-001 -7.305224E-001  9.497414E-002  5.826057E-002
  420 420/ 0  1.052500E+011  1.081398E-001  5.272858E-002  6.146054E-001 -7.369625E-001  6.216143E-001 -7.302251E-001  9.629112E-002  5.971518E-002
  421 421/ 0  1.055000E+011  1.041295E-001  5.718845E-002  6.124863E-001 -7.392606E-001  6.203157E-001 -7.316593E-001  9.695557E-002  6.067180E-002
  422 422/ 0  1.057500E+011  1.120102E-001  5.266907E-002  6.109081E-001 -7.399335E-001  6.187559E-001 -7.314295E-001  9.519757E-002  6.182695E-002
  423 423/ 0  1.060000E+011  1.041360E-001  5.820797E-002  6.090078E-001 -7.408043E-001  6.169501E-001 -7.333511E-001  1.000131E-001  6.258155E-002
  424 424/ 0  1.062500E+011  1.123733E-001  5.380302E-002  6.091492E-001 -7.404485E-001  6.165948E-001 -7.332580E-001  9.255834E-002  6.347551E-002
  425 425/ 0  1.065000E+011  1.060620E-001  5.963704E-002  6.082015E-001 -7.439260E-001  6.157055E-001 -7.361278E-001  1.021036E-001  6.640774E-002
  426 426/ 0  1.067500E+011  1.132569E-001  5.978665E-002  6.037782E-001 -7.433640E-001  6.120226E-001 -7.345308E-001  9.481179E-002  6.644544E-002
  427 427/ 0  1.070000E+011  1.096505E-001  5.838328E-002  6.048821E-001 -7.468326E-001  6.128881E-001 -7.395337E-001  1.033080E-001  6.793540E-002
  428 428/ 0  1.072500E+011  1.140058E-001  6.482943E-002  6.012671E-001 -7.468974E-001  6.094984E-001 -7.389780E-001  9.988485E-002  6.630647E-002
  429 429/ 0  1.075000E+011  1.126289E-001  5.758958E-002  6.033065E-001 -7.505112E-001  6.112459E-001 -7.415215E-001  9.873903E-002  7.078559E-002
  430 430/ 0  1.077500E+011  1.145232E-001  7.131686E-002  5.962578E-001 -7.510494E-001  6.049727E-001 -7.433614E-001  1.043246E-001  6.942172E-002
  431 431/ 0  1.080000E+011  1.184916E-001  6.084966E-002  5.964292E-001 -7.508173E-001  6.058865E-001 -7.419598E-001  9.928252E-002  7.169679E-002
  432 432/ 0  1.082500E+011  1.166575E-001  7.131282E-002  5.921521E-001 -7.540201E-001  6.004677E-001 -7.454117E-001  1.088081E-001  7.202622E-002
  433 433/ 0  1.085000E+011  1.221657E-001  6.739209E-002  5.898291E-001 -7.525563E-001  6.007089E-001 -7.435896E-001  1.038299E-001  7.012871E-002
  434 434/ 0  1.087500E+011  1.171263E-001  6.778478E-002  5.897534E-001 -7.583170E-001  6.002139E-001 -7.484545E-001  1.067423E-001  7.507511E-002
  435 435/ 0  1.090000E+011  1.236736E-001  7.551360E-002  5.863585E-001 -7.560562E-001  5.967213E-001 -7.471291E-001  1.109900E-001  7.368440E-002
  436 436/ 0  1.092500E+011  1.211970E-001  6.338100E-002  5.864697E-001 -7.576884E-001  5.975475E-001 -7.477177E-001  1.065532E-001  7.447144E-002
  437 437/ 0  1.095000E+011  1.226911E-001  7.523128E-002  5.840381E-001 -7.589392E-001  5.941145E-001 -7.500566E-001  1.139677E-001  7.729135E-002
  438 438/ 0  1.097500E+011  1.245782E-001  6.608060E-002  5.814537E-001 -7.586207E-001  5.921914E-001 -7.486388E-001  1.100950E-001  7.431160E-002
  439 439/ 0  1.100000E+011  1.220719E-001  7.108954E-002  5.796212E-001 -7.618835E-001  5.898739E-001 -7.517279E-001  1.121972E-001  7.952795E-002
