Header: 
Footer: 
Point prm/cv           freq     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.
   49  49/ 0  1.250000E+010  1.204590E-002 -8.693339E-003  9.790443E-001 -1.113446E-001  9.791524E-001 -1.111071E-001  1.270368E-002 -9.471295E-003
   50  50/ 0  1.275000E+010  1.188991E-002 -8.891741E-003  9.785704E-001 -1.133974E-001  9.787835E-001 -1.131518E-001  1.294250E-002 -9.727314E-003
   51  51/ 0  1.300000E+010  1.189235E-002 -9.358220E-003  9.782564E-001 -1.154491E-001  9.784238E-001 -1.151514E-001  1.255200E-002 -1.017445E-002
   52  52/ 0  1.325000E+010  1.195825E-002 -9.396374E-003  9.777675E-001 -1.174326E-001  9.780034E-001 -1.172327E-001  1.293816E-002 -1.019927E-002
   53  53/ 0  1.350000E+010  1.211866E-002 -1.009847E-002  9.775217E-001 -1.194806E-001  9.776710E-001 -1.192622E-001  1.254614E-002 -1.101354E-002
   54  54/ 0  1.375000E+010  1.222778E-002 -1.005877E-002  9.770646E-001 -1.215589E-001  9.771907E-001 -1.212567E-001  1.264438E-002 -1.051530E-002
   55  55/ 0  1.400000E+010  1.242438E-002 -1.057384E-002  9.767362E-001 -1.234937E-001  9.768810E-001 -1.232223E-001  1.285486E-002 -1.127398E-002
   56  56/ 0  1.425000E+010  1.256332E-002 -1.079721E-002  9.763063E-001 -1.256592E-001  9.764175E-001 -1.254057E-001  1.255717E-002 -1.136119E-002
   57  57/ 0  1.450000E+010  1.254539E-002 -1.116304E-002  9.759215E-001 -1.276431E-001  9.760365E-001 -1.273303E-001  1.283561E-002 -1.145194E-002
   58  58/ 0  1.475000E+010  1.244382E-002 -1.160425E-002  9.755136E-001 -1.297475E-001  9.757301E-001 -1.294907E-001  1.266201E-002 -1.179258E-002
   59  59/ 0  1.500000E+010  1.225177E-002 -1.167977E-002  9.750709E-001 -1.317493E-001  9.752362E-001 -1.315165E-001  1.317553E-002 -1.186755E-002
   60  60/ 0  1.525000E+010  1.211097E-002 -1.224186E-002  9.747489E-001 -1.337884E-001  9.748201E-001 -1.335928E-001  1.284694E-002 -1.243237E-002
   61  61/ 0  1.550000E+010  1.187314E-002 -1.193341E-002  9.741711E-001 -1.357373E-001  9.743718E-001 -1.354995E-001  1.338035E-002 -1.203930E-002
   62  62/ 0  1.575000E+010  1.193613E-002 -1.248361E-002  9.738381E-001 -1.378188E-001  9.740284E-001 -1.375547E-001  1.350154E-002 -1.304587E-002
   63  63/ 0  1.600000E+010  1.174442E-002 -1.243432E-002  9.733600E-001 -1.397857E-001  9.736038E-001 -1.395781E-001  1.348941E-002 -1.301605E-002
   64  64/ 0  1.625000E+010  1.178671E-002 -1.265166E-002  9.730445E-001 -1.417394E-001  9.731707E-001 -1.416527E-001  1.367562E-002 -1.337737E-002
   65  65/ 0  1.650000E+010  1.173838E-002 -1.298842E-002  9.726030E-001 -1.438401E-001  9.727387E-001 -1.436859E-001  1.382718E-002 -1.384342E-002
   66  66/ 0  1.675000E+010  1.211497E-002 -1.331023E-002  9.722038E-001 -1.459078E-001  9.723227E-001 -1.457366E-001  1.359263E-002 -1.437538E-002
   67  67/ 0  1.700000E+010  1.202407E-002 -1.351975E-002  9.717320E-001 -1.478843E-001  9.719574E-001 -1.476946E-001  1.348584E-002 -1.450101E-002
   68  68/ 0  1.725000E+010  1.232280E-002 -1.385422E-002  9.713077E-001 -1.498654E-001  9.714965E-001 -1.497399E-001  1.353668E-002 -1.510004E-002
   69  69/ 0  1.750000E+010  1.242233E-002 -1.405769E-002  9.709105E-001 -1.518504E-001  9.710467E-001 -1.517402E-001  1.321367E-002 -1.536958E-002
   70  70/ 0  1.775000E+010  1.243131E-002 -1.458180E-002  9.705095E-001 -1.538963E-001  9.706721E-001 -1.537940E-001  1.300765E-002 -1.551024E-002
   71  71/ 0  1.800000E+010  1.246842E-002 -1.459606E-002  9.700321E-001 -1.559187E-001  9.701705E-001 -1.557081E-001  1.327651E-002 -1.532881E-002
   72  72/ 0  1.825000E+010  1.240747E-002 -1.490096E-002  9.696659E-001 -1.578061E-001  9.698357E-001 -1.576908E-001  1.350110E-002 -1.594591E-002
   73  73/ 0  1.850000E+010  1.235295E-002 -1.519197E-002  9.691119E-001 -1.599335E-001  9.693174E-001 -1.598559E-001  1.320855E-002 -1.605215E-002
   74  74/ 0  1.875000E+010  1.216539E-002 -1.501067E-002  9.686675E-001 -1.618051E-001  9.688783E-001 -1.616595E-001  1.403172E-002 -1.593679E-002
   75  75/ 0  1.900000E+010  1.213989E-002 -1.561065E-002  9.681716E-001 -1.640504E-001  9.684784E-001 -1.637778E-001  1.379007E-002 -1.686149E-002
   76  76/ 0  1.925000E+010  1.185673E-002 -1.566697E-002  9.676942E-001 -1.658786E-001  9.679814E-001 -1.658072E-001  1.374752E-002 -1.658442E-002
   77  77/ 0  1.950000E+010  1.203057E-002 -1.601372E-002  9.673018E-001 -1.678840E-001  9.674839E-001 -1.677843E-001  1.381736E-002 -1.707893E-002
   78  78/ 0  1.975000E+010  1.180091E-002 -1.629949E-002  9.668183E-001 -1.699012E-001  9.670861E-001 -1.698180E-001  1.372637E-002 -1.733777E-002
   79  79/ 0  2.000000E+010  1.232777E-002 -1.672486E-002  9.664124E-001 -1.719022E-001  9.665768E-001 -1.717934E-001  1.367532E-002 -1.771633E-002
   80  80/ 0  2.025000E+010  1.184630E-002 -1.714281E-002  9.659452E-001 -1.738230E-001  9.661361E-001 -1.738197E-001  1.313326E-002 -1.780241E-002
   81  81/ 0  2.050000E+010  1.244836E-002 -1.710596E-002  9.653529E-001 -1.757485E-001  9.656164E-001 -1.756667E-001  1.353805E-002 -1.794952E-002
   82  82/ 0  2.075000E+010  1.223834E-002 -1.791774E-002  9.649382E-001 -1.778237E-001  9.651938E-001 -1.777333E-001  1.321137E-002 -1.889261E-002
   83  83/ 0  2.100000E+010  1.239681E-002 -1.770934E-002  9.644467E-001 -1.798471E-001  9.645982E-001 -1.797246E-001  1.298008E-002 -1.831641E-002
   84  84/ 0  2.125000E+010  1.244618E-002 -1.797370E-002  9.639427E-001 -1.817726E-001  9.642128E-001 -1.817113E-001  1.365082E-002 -1.909998E-002
   85  85/ 0  2.150000E+010  1.251477E-002 -1.823021E-002  9.635574E-001 -1.837607E-001  9.636995E-001 -1.836411E-001  1.329673E-002 -1.936507E-002
   86  86/ 0  2.175000E+010  1.218848E-002 -1.852342E-002  9.630541E-001 -1.856906E-001  9.632540E-001 -1.856869E-001  1.344135E-002 -1.956026E-002
